Latitude,Longitude,City,Metropolitan Statistical Area,Average Daily Rate (USD),Annual Revenue LTM (USD),Airbnb Superhost,Occupancy Rate LTM,Airbnb Host ID,Property ID,Property Type
18.34269,-67.25598,Rincon,"Aguadilla-Isabela, PR Metro Area",98.27,11497,TRUE,0.452,187301071,ab-35094374,Cottage
18.05734,-65.91436,Yabucoa,"San Juan-Carolina-Caguas, PR Metro Area",54.37,7993,TRUE,0.598,216143983,ab-35094991,Guest suite
18.335,-65.814,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",168.46,28302,TRUE,0.629,73405616,ab-35112879,Chalet
18.30979,-65.29619,Culebra,NA,161.82,5340,FALSE,0.156,63531552,ab-35118332,House
18.073,-65.873,Yabucoa,"San Juan-Carolina-Caguas, PR Metro Area",128.22,20900,FALSE,0.584,98714958,ab-35118401,Condominium
17.96126,-66.15957,Guayama,"Guayama, PR Metro Area",NA,0,FALSE,NA,264489486,ab-35118782,Tiny house
18.46784,-66.1168,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",165.77,23373,TRUE,0.516,131235422,ab-35118824,Apartment
18.45339,-66.05719,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",95.45,13459,FALSE,0.734,22730426,ab-35119376,Apartment
18.29676,-66.11682,Guaynabo,"San Juan-Carolina-Caguas, PR Metro Area",60,120,FALSE,0.067,264546712,ab-35122489,House
17.97986,-67.18423,Boqueron,"San Germán, PR Metro Area",146.59,8062,FALSE,0.202,264548563,ab-35123469,Apartment
18.42634,-65.98385,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",52.99,4504,FALSE,0.261,113053943,ab-35123481,Apartment
18.09653,-65.79044,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",235.69,22155,TRUE,0.459,56513346,ab-35124764,Condominium
18.38088,-67.1973,Aguada,"Aguadilla-Isabela, PR Metro Area",96.67,387,FALSE,0.133,38996982,ab-35125452,Townhouse
17.98514,-67.19468,Boqueron,"San Germán, PR Metro Area",179.62,24429,TRUE,0.383,192932356,ab-35125883,House
18.38132,-65.71722,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",101.86,21391,TRUE,0.677,258590174,ab-35126939,Apartment
18.37026,-65.98481,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",53.33,2453,FALSE,0.242,224460917,ab-35127581,Guest suite
17.99016,-66.70859,Penuelas,"Ponce, PR Metro Area",475.22,72709,FALSE,0.537,92971064,ab-35128294,House
18.218,-65.891,Juncos,"San Juan-Carolina-Caguas, PR Metro Area",136.94,14927,TRUE,0.303,252739879,ab-35130280,Guesthouse
18.39315,-65.91964,Canovanas,"San Juan-Carolina-Caguas, PR Metro Area",43.22,4236,TRUE,0.685,141414197,ab-35132100,Apartment
18.42754,-65.83872,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",150.6,6024,TRUE,0.263,26137702,ab-35132926,Apartment
